x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
4.816774e-04  1.835303e-02  2.925948e+00  5.370000e-02  1.646220e-04  1.500000e+03  2.756941e-01  8.833220e-02  2.907366e-03  2.634986e-03  2.633566e-04  1.639393e-04  9.093816e-07  3.983516e-09  6.300031e-01  1.000000e+00  
4.905961e-04  1.835304e-02  2.925946e+00  5.370000e-02  1.676701e-04  1.500000e+03  2.750429e-01  8.808009e-02  3.347194e-03  3.033451e-03  3.031519e-04  1.886843e-04  9.039503e-07  4.239836e-09  6.300036e-01  1.000000e+00  
4.995148e-04  1.835306e-02  2.925943e+00  5.370000e-02  1.707182e-04  1.500000e+03  2.742961e-01  8.779098e-02  3.851591e-03  3.490410e-03  3.487780e-04  2.170510e-04  9.001529e-07  4.578173e-09  6.300042e-01  1.000000e+00  
5.084335e-04  1.835308e-02  2.925940e+00  5.370000e-02  1.737664e-04  1.500000e+03  2.734406e-01  8.745979e-02  4.429424e-03  4.013893e-03  4.010317e-04  2.495343e-04  8.967027e-07  5.025369e-09  6.300049e-01  1.000000e+00  
5.147683e-04  1.835309e-02  2.925938e+00  5.370000e-02  1.759315e-04  1.500000e+03  2.727589e-01  8.719591e-02  4.889840e-03  4.430999e-03  4.426554e-04  2.754052e-04  8.948891e-07  5.427707e-09  6.300054e-01  1.000000e+00  
5.193913e-04  1.835310e-02  2.925936e+00  5.370000e-02  1.775115e-04  1.500000e+03  2.722189e-01  8.698688e-02  5.254572e-03  4.761421e-03  4.756216e-04  2.958919e-04  8.946209e-07  5.775662e-09  6.300058e-01  1.000000e+00  
5.240144e-04  1.835312e-02  2.925933e+00  5.370000e-02  1.790915e-04  1.500000e+03  2.716404e-01  8.676294e-02  5.645335e-03  5.115422e-03  5.109331e-04  3.178346e-04  8.945364e-07  6.177301e-09  6.300063e-01  1.000000e+00  
5.286374e-04  1.835313e-02  2.925931e+00  5.370000e-02  1.806715e-04  1.500000e+03  2.710208e-01  8.652312e-02  6.063808e-03  5.494523e-03  5.487403e-04  3.413259e-04  8.942770e-07  6.640556e-09  6.300068e-01  1.000000e+00  
5.332604e-04  1.835315e-02  2.925929e+00  5.370000e-02  1.822515e-04  1.500000e+03  2.703576e-01  8.626643e-02  6.511754e-03  5.900320e-03  5.892002e-04  3.664622e-04  8.939384e-07  7.174377e-09  6.300073e-01  1.000000e+00  
5.378834e-04  1.835316e-02  2.925926e+00  5.370000e-02  1.838315e-04  1.500000e+03  2.696481e-01  8.599180e-02  6.991014e-03  6.334481e-03  6.324771e-04  3.933446e-04  8.938390e-07  7.788969e-09  6.300079e-01  1.000000e+00  
